행정기관코드,행정기관코드/100,법정동코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수
1147063000,11470630,1115065,서울특별시 양천구 신정2동,23191,7544,11549,11642
1147064000,11470640,1115066,서울특별시 양천구 신정3동,49866,19028,24756,25110
1147065000,11470650,1115072,서울특별시 양천구 신정4동,36141,15038,18043,18098
1147067000,11470670,1115069,서울특별시 양천구 신정6동,28036,8872,13802,14234
1147068000,11470680,1115070,서울특별시 양천구 신정7동,33771,11714,16726,17045
1150000000,11500000,#N/A,서울특별시 강서구 ,576109,222404,284416,291693
1150051000,11500510,1116051,서울특별시 강서구 염창동,41862,14141,20770,21092
1150052000,11500520,1116052,서울특별시 강서구 등촌제1동,21283,8363,10646,10637
1150053000,11500530,1116053,서울특별시 강서구 등촌제2동,23059,8369,11585,11474
1150053500,11500535,1116054,서울특별시 강서구 등촌제3동,38946,14809,18666,20280
1150054000,11500540,1116073,서울특별시 강서구 화곡제1동,50447,20307,25119,25328
1150055000,11500550,1116057,서울특별시 강서구 화곡제2동,20638,8027,10253,10385
1150056000,11500560,1116058,서울특별시 강서구 화곡제3동,24193,8840,11876,12317
1150057000,11500570,1116059,서울특별시 강서구 화곡제4동,22797,9241,11370,11427
1150059000,11500590,1116055,서울특별시 강서구 화곡본동,35533,14544,17496,18037
1150059100,11500591,1116061,서울특별시 강서구 화곡제6동,24795,9692,12220,12575
1150059300,11500593,1116063,서울특별시 강서구 화곡제8동,27238,10843,13452,13786
1150060300,11500603,1116064,서울특별시 강서구 가양제1동,21756,7833,10996,10760
1150060400,11500604,1116065,서울특별시 강서구 가양제2동,18994,7930,9184,9810
1150060500,11500605,1116066,서울특별시 강서구 가양제3동,20081,7812,9691,10390
1150061100,11500611,1116067,서울특별시 강서구 발산제1동,30816,10894,14993,15823
1150061500,11500615,1116074,서울특별시 강서구 우장산동,45601,16380,22303,23298
1150062000,11500620,1116069,서울특별시 강서구 공항동,21629,9710,10978,10651
1150063000,11500630,1116070,서울특별시 강서구 방화제1동,31271,12006,15786,15485
1150064000,11500640,1116071,서울특별시 강서구 방화제2동,26678,11028,13234,13444
1150064100,11500641,1116072,서울특별시 강서구 방화제3동,28492,11635,13798,14694
1153000000,11530000,#N/A,서울특별시 구로구 ,421261,165730,212668,208593
1153051000,11530510,1117051,서울특별시 구로구 신도림동,36617,12835,18190,18427
1153052000,11530520,1117052,서울특별시 구로구 구로제1동,23306,8027,11642,11664
1153053000,11530530,1117053,서울특별시 구로구 구로제2동,16556,7498,8480,8076
1153054000,11530540,1117054,서울특별시 구로구 구로제3동,26432,11989,13391,13041
1153055000,11530550,1117055,서울특별시 구로구 구로제4동,27203,11617,13606,13597
1153056000,11530560,1117056,서울특별시 구로구 구로제5동,32004,12581,16112,15892
1153056500,11530565,1117058,서울특별시 구로구 구로본동,18410,7879,9321,9089
1153059500,11530595,1117070,서울특별시 구로구 가리봉동,15763,8295,8501,7262
1153072000,11530720,1117061,서울특별시 구로구 고척제1동,26401,9676,13371,13030
1153073000,11530730,1117062,서울특별시 구로구 고척제2동,28395,10905,14487,13908
1153074000,11530740,1117063,서울특별시 구로구 개봉제1동,17236,6721,8736,8500
1153075000,11530750,1117064,서울특별시 구로구 개봉제2동,36326,13021,18054,18272
1153076000,11530760,1117065,서울특별시 구로구 개봉제3동,22858,8519,11423,11435
1153076500,11530765,1117066,서울특별시 구로구 개봉본동,20593,8081,10347,10246
1153077000,11530770,1117067,서울특별시 구로구 오류제1동,21050,8100,10577,10473
1153078000,11530780,1117068,서울특별시 구로구 오류제2동,30026,11571,15296,14730
1153079000,11530790,1117069,서울특별시 구로구 수궁동,22085,8415,11134,10951
1154500000,11545000,#N/A,서울특별시 금천구 ,247733,100208,126062,121671
1154551000,11545510,1118051,서울특별시 금천구 가산동,19039,9371,10438,8601
1154561000,11545610,1118052,서울특별시 금천구 독산제1동,31551,12608,16114,15437
1154562000,11545620,1118053,서울특별시 금천구 독산제2동,24219,10046,12308,11911
1154563000,11545630,1118054,서울특별시 금천구 독산제3동,29693,12622,14900,14793
1154564000,11545640,1118055,서울특별시 금천구 독산제4동,19947,8327,10156,9791
